"relative_path","line_number","needle","line","signal"
"app\etl\match\parcel_matcher.py","768","confidence","forced_confidence_score=0.78,","confidence_logic"
"app\etl\match\parcel_matcher.py","785","inspire_id","func.lower(func.coalesce(ParcelInspire.address_text, ParcelInspire.parcel_ref, ParcelInspire.inspire_id)),","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","785","parcel_ref","func.lower(func.coalesce(ParcelInspire.address_text, ParcelInspire.parcel_ref, ParcelInspire.inspire_id)),","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","802","source_name","source_name: str,","source_lineage_field"
"app\etl\match\parcel_matcher.py","804","source_updated_at","source_updated_at,","source_lineage_field"
"app\etl\match\parcel_matcher.py","807","confidence","source_confidence_needs_review: bool = False,","confidence_logic"
"app\etl\match\parcel_matcher.py","809","confidence","confidence = compute_confidence_score(","confidence_logic"
"app\etl\match\parcel_matcher.py","810","source_name","source_reliability=source_reliability_score(source_name),","source_lineage_field"
"app\etl\match\parcel_matcher.py","811","source_name","freshness=freshness_score(source_updated_at, source_name),","source_lineage_field"
"app\etl\match\parcel_matcher.py","811","source_updated_at","freshness=freshness_score(source_updated_at, source_name),","source_lineage_field"
"app\etl\match\parcel_matcher.py","817","confidence","confidence_score=confidence,","confidence_logic"
"app\etl\match\parcel_matcher.py","820","confidence","source_confidence_needs_review=source_confidence_needs_review,","confidence_logic"
"app\etl\match\parcel_matcher.py","822","confidence","return confidence, requires_review","confidence_logic"
"app\etl\match\parcel_matcher.py","829","local_authority","# Distinct local_authority scans on very large parcel tables can hit statement timeout,","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","833","source_name","session.execute(delete(ListingParcelLink).where(ListingParcelLink.source_name == 'planning_data_brownfield'))","source_lineage_field"
"app\etl\match\parcel_matcher.py","840","parcels","FROM parcels_inspire","dataset_or_table_mapping"
"app\etl\match\parcel_matcher.py","840","parcels_inspire","FROM parcels_inspire","dataset_or_table_mapping"
"app\etl\match\parcel_matcher.py","849","source_record_id","s.site_id AS source_record_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","859","parcels","FROM parcels_inspire","dataset_or_table_mapping"
"app\etl\match\parcel_matcher.py","859","parcels_inspire","FROM parcels_inspire","dataset_or_table_mapping"
"app\etl\match\parcel_matcher.py","868","source_record_id","candidate_map = {str(row['source_record_id']): row for row in candidate_rows}","source_lineage_field"
"app\etl\match\parcel_matcher.py","876","source_record_id","source_record_id = getattr(record, config['record_id_attr'])","source_lineage_field"
"app\etl\match\parcel_matcher.py","878","local_authority","record_local_authority = getattr(record, 'local_authority', None)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","879","local_authority","local_authority_filter = _resolve_local_authority_filter(record_local_authority, covered_authorities, authority_lookup)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","880","source_record_id","candidates = _manual_override_candidates(session, 'planning_data_brownfield', source_record_id)","source_lineage_field"
"app\etl\match\parcel_matcher.py","882","local_authority","candidates = _hint_candidates(session, record, local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","885","source_record_id","matched_row = candidate_map.get(str(source_record_id))","source_lineage_field"
"app\etl\match\parcel_matcher.py","896","bulk","# Bulk point matching is the fast path for the common case, but some planning-data","load_or_write_path"
"app\etl\match\parcel_matcher.py","900","local_authority","candidates = _polygon_candidates(session, getattr(record, config['polygon_attr']), local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","902","local_authority","candidates = _polygon_centroid_candidates(session, getattr(record, config['polygon_attr']), local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","904","local_authority","candidates = _point_candidates(session, getattr(record, config['point_attr']), local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","906","local_authority","candidates = _postcode_candidates(session, getattr(record, config['postcode_attr'], None), local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","914","confidence","record.confidence_score = 0.0","confidence_logic"
"app\etl\match\parcel_matcher.py","920","source_name","source_name='planning_data_brownfield',","source_lineage_field"
"app\etl\match\parcel_matcher.py","921","source_record_id","source_record_id=source_record_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","923","source_record_id","payload={'record_id': source_record_id},","source_lineage_field"
"app\etl\match\parcel_matcher.py","931","confidence","source_confidence_fields = _build_match_source_confidence_fields(record, config, candidate)","confidence_logic"
"app\etl\match\parcel_matcher.py","932","confidence","confidence, requires_review = _score_candidate(","confidence_logic"
"app\etl\match\parcel_matcher.py","935","source_updated_at","getattr(record, 'source_updated_at', None),","source_lineage_field"
"app\etl\match\parcel_matcher.py","937","confidence","source_confidence_needs_review=bool(source_confidence_fields[""source_confidence_needs_review""]),","confidence_logic"
"app\etl\match\parcel_matcher.py","939","confidence","requires_review = requires_review or bool(source_confidence_fields[""source_confidence_needs_review""])","confidence_logic"
"app\etl\match\parcel_matcher.py","943","source_name","source_name='planning_data_brownfield',","source_lineage_field"
"app\etl\match\parcel_matcher.py","944","source_record_id","source_record_id=source_record_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","952","confidence","confidence_score=confidence,","confidence_logic"
"app\etl\match\parcel_matcher.py","959","confidence","record.confidence_score = confidence","confidence_logic"
"app\etl\match\parcel_matcher.py","961","source_updated_at","record.is_stale = freshness_score(getattr(record, 'source_updated_at', None), 'planning_data_brownfield') < 0.5","source_lineage_field"
"app\etl\match\parcel_matcher.py","967","source_name","source_name='planning_data_brownfield',","source_lineage_field"
"app\etl\match\parcel_matcher.py","968","source_record_id","source_record_id='__summary__',","source_lineage_field"
"app\etl\match\parcel_matcher.py","977","source_name","def match_source_records(session: Session, source_name: str, run_id: str) -> int:","source_lineage_field"
"app\etl\match\parcel_matcher.py","978","source_name","if source_name == 'planning_data_brownfield':","source_lineage_field"
"app\etl\match\parcel_matcher.py","981","source_name","config = SOURCE_MODEL_CONFIG[source_name]","source_lineage_field"
"app\etl\match\parcel_matcher.py","983","high","# History transactions (hmlr_price_paid) are high-volume.","confidence_logic"
"app\etl\match\parcel_matcher.py","986","source_name","if source_name == 'hmlr_price_paid':","source_lineage_field"
"app\etl\match\parcel_matcher.py","992","source_name","if source_name == 'hmlr_price_paid':","source_lineage_field"
"app\etl\match\parcel_matcher.py","994","source_name","session.execute(delete(ListingParcelLink).where(ListingParcelLink.source_name == source_name))","source_lineage_field"
"app\etl\match\parcel_matcher.py","998","source_name","if source_name == 'hmlr_price_paid':","source_lineage_field"
"app\etl\match\parcel_matcher.py","1024","source_record_id","source_record_id = getattr(record, config['record_id_attr'])","source_lineage_field"
"app\etl\match\parcel_matcher.py","1027","local_authority","record_local_authority = getattr(record, 'local_authority', None)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","1028","local_authority","local_authority_filter = _resolve_local_authority_filter(record_local_authority, covered_authorities, authority_lookup)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","1029","source_name","candidates = _manual_override_candidates(session, source_name, source_record_id)","source_lineage_field"
"app\etl\match\parcel_matcher.py","1029","source_record_id","candidates = _manual_override_candidates(session, source_name, source_record_id)","source_lineage_field"
"app\etl\match\parcel_matcher.py","1031","local_authority","candidates = _hint_candidates(session, record, local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","1034","source_name","if source_name == 'hmlr_price_paid':","source_lineage_field"
"app\etl\match\parcel_matcher.py","1049","confidence","record.confidence_score = 0.0","confidence_logic"
"app\etl\match\parcel_matcher.py","1055","source_name","source_name=source_name,","source_lineage_field"
"app\etl\match\parcel_matcher.py","1056","source_record_id","source_record_id=source_record_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","1067","local_authority","candidates = _polygon_candidates(session, getattr(record, config['polygon_attr']), local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","1069","local_authority","candidates = _polygon_centroid_candidates(session, getattr(record, config['polygon_attr']), local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","1071","local_authority","candidates = _point_candidates(session, getattr(record, config['point_attr']), local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","1073","local_authority","candidates = _postcode_candidates(session, getattr(record, config['postcode_attr'], None), local_authority_filter)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","1074","source_name","if not candidates and source_name == 'hmlr_price_paid':","source_lineage_field"
"app\etl\match\parcel_matcher.py","1076","source_name","if not candidates and source_name != 'hmlr_price_paid':","source_lineage_field"
"app\etl\match\parcel_matcher.py","1083","confidence","record.confidence_score = 0.0","confidence_logic"
"app\etl\match\parcel_matcher.py","1086","source_name","_record_dq_issue(session, run_id=run_id, source_name=source_name, source_record_id=source_record_id, message='No parcel match could be inferred for this source record.', payload={'record_id': source_record_id})","source_lineage_field"
"app\etl\match\parcel_matcher.py","1086","source_record_id","_record_dq_issue(session, run_id=run_id, source_name=source_name, source_record_id=source_record_id, message='No parcel match could be inferred for this source record.', payload={'record_id': source_record_id})","source_lineage_field"
"app\etl\match\parcel_matcher.py","1092","source_name","if source_name == 'hmlr_price_paid' and hmlr_scope in {'london_market_postcode', 'london_prefix_candidate'}:","source_lineage_field"
"app\etl\match\parcel_matcher.py","1097","confidence","record.confidence_score = 0.0","confidence_logic"
"app\etl\match\parcel_matcher.py","1103","source_name","source_name=source_name,","source_lineage_field"
"app\etl\match\parcel_matcher.py","1104","source_record_id","source_record_id=source_record_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","1124","confidence","best_confidence = 0.0","confidence_logic"
"app\etl\match\parcel_matcher.py","1127","confidence","source_confidence_fields = _build_match_source_confidence_fields(record, config, candidate)","confidence_logic"
"app\etl\match\parcel_matcher.py","1128","confidence","if candidate.forced_confidence_score is not None:","confidence_logic"
"app\etl\match\parcel_matcher.py","1129","confidence","confidence = float(candidate.forced_confidence_score)","confidence_logic"
"app\etl\match\parcel_matcher.py","1131","confidence","source_confidence_fields[""source_confidence_needs_review""]","confidence_logic"
"app\etl\match\parcel_matcher.py","1134","confidence","confidence, requires_review = _score_candidate(","confidence_logic"
"app\etl\match\parcel_matcher.py","1135","source_name","source_name,","source_lineage_field"
"app\etl\match\parcel_matcher.py","1137","source_updated_at","getattr(record, 'source_updated_at', None),","source_lineage_field"
"app\etl\match\parcel_matcher.py","1139","confidence","source_confidence_needs_review=bool(source_confidence_fields[""source_confidence_needs_review""]),","confidence_logic"
"app\etl\match\parcel_matcher.py","1141","confidence","requires_review = requires_review or bool(source_confidence_fields[""source_confidence_needs_review""])","confidence_logic"
"app\etl\match\parcel_matcher.py","1145","source_name","source_name=source_name,","source_lineage_field"
"app\etl\match\parcel_matcher.py","1146","source_record_id","source_record_id=source_record_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","1154","confidence","confidence_score=confidence,","confidence_logic"
"app\etl\match\parcel_matcher.py","1162","confidence","if confidence >= best_confidence:","confidence_logic"
"app\etl\match\parcel_matcher.py","1163","confidence","best_confidence = confidence","confidence_logic"
"app\etl\match\parcel_matcher.py","1167","confidence","record.confidence_score = confidence","confidence_logic"
"app\etl\match\parcel_matcher.py","1169","source_name","record.is_stale = freshness_score(getattr(record, 'source_updated_at', None), source_name) < 0.5","source_lineage_field"
"app\etl\match\parcel_matcher.py","1169","source_updated_at","record.is_stale = freshness_score(getattr(record, 'source_updated_at', None), source_name) < 0.5","source_lineage_field"
"app\etl\match\parcel_matcher.py","1174","source_name","source_name=source_name,","source_lineage_field"
"app\etl\match\parcel_matcher.py","1175","source_record_id","source_record_id='__summary__',","source_lineage_field"
"app\etl\authority_checkpoint.py","0","FILE_NOT_FOUND","","missing_file"
"app\db\models.py","0","FILE_NOT_FOUND","","missing_file"
